time,state,value
2023-11-20 18:38,adapter,174748
2023-11-20 18:39,adapter,941350
2023-11-20 18:40,adapter,1121361
2023-11-20 18:41,adapter,1830746
2023-11-20 18:42,adapter,1755893
2023-11-20 18:43,adapter,1626904
2023-11-20 18:44,adapter,1631588
2023-11-20 18:45,adapter,1447117
2023-11-20 18:46,adapter,1534141
2023-11-20 18:47,adapter,1617764
2023-11-20 18:48,adapter,1526496
2023-11-20 18:49,adapter,1455204
2023-11-20 18:50,adapter,1231216
2023-11-20 18:51,adapter,1340352
2023-11-20 18:52,adapter,1375477
2023-11-20 18:53,adapter,1235284
2023-11-20 18:54,adapter,1235105
2023-11-20 18:55,adapter,1159802
2023-11-20 18:56,adapter,1432450
2023-11-20 18:57,adapter,1384216
2023-11-20 18:58,adapter,1148216
2023-11-20 18:59,adapter,1691386
2023-11-20 19:00,adapter,1165130
2023-11-20 19:01,adapter,1075689
2023-11-20 19:02,adapter,1264959
2023-11-20 19:03,adapter,1051747
2023-11-20 19:04,adapter,1206362
2023-11-20 19:05,adapter,1238426
2023-11-20 19:06,adapter,1099642
2023-11-20 19:07,adapter,1142102
2023-11-20 19:08,adapter,1097092
2023-11-20 19:09,adapter,1118228
2023-11-20 19:10,adapter,1264732
2023-11-20 19:11,adapter,1129041
2023-11-20 19:12,adapter,953838
2023-11-20 19:13,adapter,1003856
2023-11-20 19:14,adapter,934982
2023-11-20 19:15,adapter,877119
2023-11-20 19:16,adapter,834383
2023-11-20 19:17,adapter,959674
2023-11-20 19:18,adapter,816950
2023-11-20 19:19,adapter,1091384
2023-11-20 19:20,adapter,843033
2023-11-20 19:21,adapter,960145
2023-11-20 19:22,adapter,979786
2023-11-20 19:23,adapter,938872
2023-11-20 19:24,adapter,928802
2023-11-20 19:25,adapter,1016154
2023-11-20 19:26,adapter,877470
2023-11-20 19:27,adapter,998825
2023-11-20 19:28,adapter,808199
2023-11-20 19:29,adapter,905716
2023-11-20 19:30,adapter,734506
2023-11-20 19:31,adapter,886550
2023-11-20 19:32,adapter,951317
2023-11-20 19:33,adapter,770706
2023-11-20 19:34,adapter,670918
2023-11-20 19:35,adapter,580956
2023-11-20 19:36,adapter,556346
2023-11-20 19:37,adapter,711991
2023-11-20 19:38,adapter,514005
2023-11-20 19:39,adapter,571431
2023-11-20 19:40,adapter,447633
2023-11-20 19:41,adapter,511381
