Timestamp,Experiment Time (minutes),Reads,Selected Raw Samples,Selected Events,Estimated Bases
2023-11-20 18:38,0,0,0,0,0
2023-11-20 18:39,1,5,147166,2399,2158
2023-11-20 18:40,2,9,278197,4657,4188
2023-11-20 18:41,3,23,901226,16677,15000
2023-11-20 18:42,4,31,1225504,22774,20482
2023-11-20 18:43,5,36,1642348,29614,26635
2023-11-20 18:44,6,49,2188770,40013,35987
2023-11-20 18:45,7,55,2779008,54010,48582
2023-11-20 18:46,8,58,2817667,54768,49263
2023-11-20 18:47,9,69,3320142,67911,61087
2023-11-20 18:48,10,76,3513474,70359,63287
2023-11-20 18:49,11,80,3578276,72226,64966
2023-11-20 18:50,12,87,4448279,87255,78488
2023-11-20 18:51,13,91,4616642,91633,82426
2023-11-20 18:52,14,95,4957023,96535,86836
2023-11-20 18:53,15,101,5324751,105435,94843
2023-11-20 18:54,16,107,5477855,109081,98122
2023-11-20 18:55,17,111,6343266,124038,111582
2023-11-20 18:56,18,120,7547578,146940,132190
2023-11-20 18:57,19,128,8552229,163307,146917
2023-11-20 18:58,20,140,9274034,175520,157903
2023-11-20 18:59,21,150,10038260,192068,172792
2023-11-20 19:00,22,156,10581884,198278,178379
2023-11-20 19:01,23,160,10940017,203993,183521
2023-11-20 19:02,24,163,11170035,207240,186442
2023-11-20 19:03,25,167,11316750,209416,188398
2023-11-20 19:04,26,173,12027445,226072,203385
2023-11-20 19:05,27,176,12341249,230524,207390
2023-11-20 19:06,28,180,12837259,241015,216831
2023-11-20 19:07,29,185,13069728,244848,220278
2023-11-20 19:08,30,188,13337490,249122,224123
2023-11-20 19:09,31,192,13537112,252278,226962
2023-11-20 19:10,32,198,13678484,255006,229416
2023-11-20 19:11,33,199,13687832,255203,229593
2023-11-20 19:12,34,207,14531980,267714,240848
2023-11-20 19:13,35,211,14818520,273678,246214
2023-11-20 19:14,36,215,15233325,284431,255890
2023-11-20 19:15,37,216,15261381,285096,256488
2023-11-20 19:16,38,220,15381711,286720,257947
2023-11-20 19:17,39,225,15508156,289465,260415
2023-11-20 19:18,40,232,16143023,305568,274906
2023-11-20 19:19,41,236,16692711,318239,286308
2023-11-20 19:20,42,242,17210102,329342,296299
2023-11-20 19:21,43,244,17253275,330215,297083
2023-11-20 19:22,44,246,17280829,330944,297738
2023-11-20 19:23,45,250,17558320,337096,303273
2023-11-20 19:24,46,256,17868668,345909,311202
2023-11-20 19:25,47,259,18055478,348529,313558
2023-11-20 19:26,48,259,18055478,348529,313558
2023-11-20 19:27,49,265,18301324,352840,317435
2023-11-20 19:28,50,271,18358599,354296,318742
2023-11-20 19:29,51,274,18707748,358384,322420
2023-11-20 19:30,52,279,19818407,376927,339106
2023-11-20 19:31,53,281,19840697,377362,339496
2023-11-20 19:32,54,284,20259312,382466,344088
2023-11-20 19:33,55,289,20482390,387102,348258
2023-11-20 19:34,56,292,21143283,396977,357144
2023-11-20 19:35,57,295,21197326,398383,358408
2023-11-20 19:36,58,299,21477977,401721,361411
2023-11-20 19:37,59,299,21477977,401721,361411
2023-11-20 19:38,60,301,21615872,404067,363521
2023-11-20 19:39,61,302,21629600,404362,363786
2023-11-20 19:40,62,302,21629600,404362,363786
2023-11-20 19:41,63,304,21800313,408659,367652
2023-11-20 19:42,64,306,21817699,409169,368110
2023-11-20 19:43,65,307,22031554,411669,370360
2023-11-20 19:44,66,309,22053166,412030,370684
2023-11-20 19:45,67,313,23741710,433547,390048
2023-11-20 19:46,68,314,23755741,433698,390183
2023-11-20 19:47,69,315,23766053,433885,390351
2023-11-20 19:48,70,316,24309358,440265,396093
2023-11-20 19:49,71,317,24694206,452601,407195
2023-11-20 19:50,72,320,24781600,454554,408951
2023-11-20 19:51,73,320,24781600,454554,408951
2023-11-20 19:52,74,320,24781600,454554,408951
2023-11-20 19:53,75,321,24852375,457173,411308
2023-11-20 19:54,76,323,25495386,470441,423248
2023-11-20 19:55,77,324,26800470,485800,437071
2023-11-20 19:56,78,324,26800470,485800,437071
2023-11-20 19:57,79,327,27398117,508963,457916
2023-11-20 19:58,80,328,27405081,509131,458067
2023-11-20 19:59,81,329,27528390,513684,462164
2023-11-20 20:00,82,330,27537587,513873,462334
2023-11-20 20:01,83,332,28807823,539813,485679
2023-11-20 20:02,84,332,28807823,539813,485679
2023-11-20 20:03,85,333,29075674,546572,491762
2023-11-20 20:04,86,333,29075674,546572,491762
2023-11-20 20:05,87,334,29674136,555732,500006
2023-11-20 20:06,88,334,29674136,555732,500006
2023-11-20 20:07,89,337,29916282,562299,505915
2023-11-20 20:08,90,337,29916282,562299,505915
2023-11-20 20:09,91,338,29932661,562577,506165
2023-11-20 20:10,92,339,32621315,593614,534098
2023-11-20 20:11,93,339,32621315,593614,534098
2023-11-20 20:12,94,341,32650659,594195,534620
2023-11-20 20:13,95,342,32673958,594907,535260
2023-11-20 20:14,96,347,32828816,598163,538188
2023-11-20 20:15,97,350,33009450,601510,541199
2023-11-20 20:16,98,357,33562029,613460,551951
2023-11-20 20:17,99,366,33990336,621666,559334
2023-11-20 20:18,100,371,34351248,628781,565737
2023-11-20 20:19,101,375,34824258,640370,576165
2023-11-20 20:20,102,385,36057780,661396,595083
2023-11-20 20:21,103,389,36428685,664654,598014
2023-11-20 20:22,104,391,36497847,665987,599213
2023-11-20 20:23,105,391,36497847,665987,599213
2023-11-20 20:24,106,398,36828475,674766,607112
2023-11-20 20:25,107,403,37394973,688931,619858
2023-11-20 20:26,108,408,37551740,692827,623362
2023-11-20 20:27,109,409,37562503,693052,623564
2023-11-20 20:28,110,411,37633027,694572,624931
2023-11-20 20:29,111,413,37713940,696062,626271
2023-11-20 20:30,112,416,37892557,698656,628605
2023-11-20 20:31,113,423,38747634,715741,643978
2023-11-20 20:32,114,426,38944138,720710,648448
2023-11-20 20:33,115,431,39042483,722679,650218
2023-11-20 20:34,116,433,39090058,723511,650966
2023-11-20 20:35,117,435,39119326,724052,651452
2023-11-20 20:36,118,439,39157901,724691,652025
2023-11-20 20:37,119,441,39172876,725073,652367
2023-11-20 20:38,120,445,39445259,730245,657020
2023-11-20 20:39,121,448,40266134,746949,672052
2023-11-20 20:40,122,450,40482039,752684,677212
2023-11-20 20:41,123,452,40740503,759339,683200
2023-11-20 20:42,124,455,40786822,760132,683912
2023-11-20 20:43,125,455,40786822,760132,683912
2023-11-20 20:44,126,458,41221772,768476,691420
2023-11-20 20:45,127,462,41972026,781550,703184
2023-11-20 20:46,128,464,42098572,784114,705490
2023-11-20 20:47,129,468,42216231,785580,706808
2023-11-20 20:48,130,473,42315008,787392,708436
2023-11-20 20:49,131,476,42667318,798125,718095
2023-11-20 20:50,132,482,43231504,806930,726016
2023-11-20 20:51,133,487,43503291,812993,731469
2023-11-20 20:52,134,488,43741674,815664,733872
2023-11-20 20:53,135,488,43741674,815664,733872
2023-11-20 20:54,136,493,44067704,821663,739269
2023-11-20 20:55,137,496,44264340,826508,743628
2023-11-20 20:56,138,499,44409643,829965,746738
2023-11-20 20:57,139,501,44976692,846817,761904
2023-11-20 20:58,140,502,45340370,858933,772808
2023-11-20 20:59,141,504,45388293,859934,773708
2023-11-20 21:00,142,507,45708524,865994,779160
2023-11-20 21:01,143,511,45810166,869085,781941
2023-11-20 21:02,144,513,46781027,898736,808626
2023-11-20 21:03,145,517,46894047,899917,809687
2023-11-20 21:04,146,520,47054289,901334,810961
2023-11-20 21:05,147,521,47089702,902617,812115
2023-11-20 21:06,148,523,47184723,903943,813308
2023-11-20 21:07,149,523,47184723,903943,813308
2023-11-20 21:08,150,525,47211747,904523,813830
2023-11-20 21:09,151,526,47231244,905070,814322
2023-11-20 21:10,152,527,47327190,906960,816023
2023-11-20 21:11,153,527,47327190,906960,816023
2023-11-20 21:12,154,528,47338333,907269,816301
