Timestamp,Experiment Time (minutes),Reads,Selected Raw Samples,Selected Events,Estimated Bases
2023-11-20 18:38,0,0,0,0,0
2023-11-20 18:39,1,3,39847,892,801
2023-11-20 18:40,2,12,235194,4515,4058
2023-11-20 18:41,3,34,1334390,28277,25433
2023-11-20 18:42,4,49,1915990,41388,37226
2023-11-20 18:43,5,59,2360208,47958,43134
2023-11-20 18:44,6,79,3357260,61254,55090
2023-11-20 18:45,7,99,4088108,77540,69738
2023-11-20 18:46,8,114,5666195,107890,97045
2023-11-20 18:47,9,126,6750256,129533,116517
2023-11-20 18:48,10,146,7697143,151708,136465
2023-11-20 18:49,11,165,8873952,174075,156586
2023-11-20 18:50,12,181,9887011,193560,174115
2023-11-20 18:51,13,198,11884043,234090,210583
2023-11-20 18:52,14,210,12389442,243524,219066
2023-11-20 18:53,15,224,13067781,255138,229514
2023-11-20 18:54,16,242,13835177,268672,241688
2023-11-20 18:55,17,265,16086929,313088,281651
2023-11-20 18:56,18,285,17381926,333487,300000
2023-11-20 18:57,19,299,21485620,446563,401762
2023-11-20 18:58,20,324,22848142,472680,425255
2023-11-20 18:59,21,340,23642902,486678,437845
2023-11-20 19:00,22,358,24257317,498760,448712
2023-11-20 19:01,23,373,24688438,506835,455972
2023-11-20 19:02,24,382,25414389,521014,468728
2023-11-20 19:03,25,395,25709582,527167,474259
2023-11-20 19:04,26,409,27284510,558481,502436
2023-11-20 19:05,27,423,27789386,568969,511869
2023-11-20 19:06,28,435,28395236,580217,521988
2023-11-20 19:07,29,451,29847693,605020,544304
2023-11-20 19:08,30,463,30327347,614796,553096
2023-11-20 19:09,31,477,31574787,642029,577598
2023-11-20 19:10,32,493,32293022,658505,592419
2023-11-20 19:11,33,512,34046873,699857,629628
2023-11-20 19:12,34,525,34465691,708212,637142
2023-11-20 19:13,35,542,35326185,726114,653247
2023-11-20 19:14,36,559,37185736,764595,687872
2023-11-20 19:15,37,566,37616597,772379,694875
2023-11-20 19:16,38,584,38432023,784737,705988
2023-11-20 19:17,39,599,39813007,815138,733340
2023-11-20 19:18,40,613,41554836,841644,757188
2023-11-20 19:19,41,628,43296168,885443,796599
2023-11-20 19:20,42,641,44073304,900690,810315
2023-11-20 19:21,43,650,44816171,913853,822157
2023-11-20 19:22,44,659,45245084,922250,829710
2023-11-20 19:23,45,680,48790031,988901,889685
2023-11-20 19:24,46,693,49600862,1001822,901308
2023-11-20 19:25,47,708,50634466,1025132,922280
2023-11-20 19:26,48,721,51902737,1045438,940551
2023-11-20 19:27,49,729,52388207,1055954,950013
2023-11-20 19:28,50,745,55275652,1128183,1015012
2023-11-20 19:29,51,756,55694601,1135662,1021738
2023-11-20 19:30,52,771,56789305,1157499,1041386
2023-11-20 19:31,53,782,57209645,1163060,1046386
2023-11-20 19:32,54,795,57839754,1177844,1059689
2023-11-20 19:33,55,804,58948624,1206943,1085874
2023-11-20 19:34,56,819,60362693,1236379,1112362
2023-11-20 19:35,57,827,62348107,1293888,1164117
2023-11-20 19:36,58,849,65780196,1392917,1253235
2023-11-20 19:37,59,859,66261824,1403893,1263107
2023-11-20 19:38,60,871,67334334,1424371,1281530
2023-11-20 19:39,61,884,68704422,1465767,1318780
2023-11-20 19:40,62,898,71153149,1529642,1376261
2023-11-20 19:41,63,911,71703710,1541680,1387087
