Timestamp,Experiment Time (minutes),Reads,Selected Raw Samples,Selected Events,Estimated Bases
2023-11-20 18:38,0,5,45823,1011,908
2023-11-20 18:39,1,283,3712681,71789,64480
2023-11-20 18:40,2,586,7974749,152706,137168
2023-11-20 18:41,3,1144,15737886,301452,270789
2023-11-20 18:42,4,1738,24126769,463892,416721
2023-11-20 18:43,5,2248,31650537,612686,550404
2023-11-20 18:44,6,2763,38882433,755147,678370
2023-11-20 18:45,7,3237,45824916,885112,795115
2023-11-20 18:46,8,3743,53570603,1034819,929617
2023-11-20 18:47,9,4265,61015605,1184425,1064026
2023-11-20 18:48,10,4750,68524845,1330973,1195703
2023-11-20 18:49,11,5247,77484640,1528064,1372856
2023-11-20 18:50,12,5753,86355492,1711336,1537579
2023-11-20 18:51,13,6257,94388585,1881650,1690623
2023-11-20 18:52,14,6766,102004897,2025378,1819752
2023-11-20 18:53,15,7253,110872998,2199783,1976501
2023-11-20 18:54,16,7761,119210873,2362952,2123118
2023-11-20 18:55,17,8206,125872140,2494921,2241691
2023-11-20 18:56,18,8698,133382981,2643869,2375521
2023-11-20 18:57,19,9152,140550068,2782503,2500088
2023-11-20 18:58,20,9618,148161459,2930032,2632652
2023-11-20 18:59,21,10070,156270963,3085692,2772537
2023-11-20 19:00,22,10514,162879977,3209378,2883653
2023-11-20 19:01,23,10940,172016379,3393177,3048873
2023-11-20 19:02,24,11364,178915887,3535627,3176889
2023-11-20 19:03,25,11802,186678867,3685705,3311759
2023-11-20 19:04,26,12208,194287396,3841950,3452198
2023-11-20 19:05,27,12610,202619831,4007465,3600976
2023-11-20 19:06,28,13053,210923168,4170479,3747493
2023-11-20 19:07,29,13439,218369380,4295862,3860163
2023-11-20 19:08,30,13827,224581351,4423110,3974510
2023-11-20 19:09,31,14263,231764644,4566469,4103334
2023-11-20 19:10,32,14685,243792749,4795832,4309563
2023-11-20 19:11,33,15061,249828102,4911761,4413731
2023-11-20 19:12,34,15436,256924330,5053341,4540996
2023-11-20 19:13,35,15867,267498997,5257764,4724786
2023-11-20 19:14,36,16229,274340093,5384322,4838528
2023-11-20 19:15,37,16579,280382697,5495205,4938162
2023-11-20 19:16,38,16978,287645791,5630406,5059668
2023-11-20 19:17,39,17390,295328633,5793763,5206508
2023-11-20 19:18,40,17795,303600544,5963156,5358779
2023-11-20 19:19,41,18161,310007879,6102030,5483601
2023-11-20 19:20,42,18531,318541018,6241533,5608991
2023-11-20 19:21,43,18941,325570081,6370313,5724709
2023-11-20 19:22,44,19338,331786292,6488054,5830502
2023-11-20 19:23,45,19710,338419595,6601884,5932777
2023-11-20 19:24,46,20066,346205350,6759387,6074363
2023-11-20 19:25,47,20450,355528987,6916807,6215865
2023-11-20 19:26,48,20795,361316254,7028803,6316512
2023-11-20 19:27,49,21157,370500902,7214871,6483803
2023-11-20 19:28,50,21525,377655406,7334677,6591462
2023-11-20 19:29,51,21885,382944433,7436884,6683292
2023-11-20 19:30,52,22212,395232146,7717832,6935997
2023-11-20 19:31,53,22534,401762546,7836600,7042750
2023-11-20 19:32,54,22888,408410236,7977956,7169814
2023-11-20 19:33,55,23206,415868242,8089505,7270069
2023-11-20 19:34,56,23547,423692243,8249405,7413824
2023-11-20 19:35,57,23892,430587358,8392068,7542070
2023-11-20 19:36,58,24227,438499017,8552895,7686659
2023-11-20 19:37,59,24551,444478419,8682101,7802804
2023-11-20 19:38,60,24903,451141008,8802094,7910634
2023-11-20 19:39,61,25201,458640527,8969385,8061051
2023-11-20 19:40,62,25554,466605221,9169643,8241123
2023-11-20 19:41,63,25904,476847965,9346697,8400306
2023-11-20 19:42,64,26229,482138762,9453362,8496166
2023-11-20 19:43,65,26538,487630290,9561403,8593263
2023-11-20 19:44,66,26884,494199222,9700046,8717885
2023-11-20 19:45,67,27196,498747700,9788023,8796926
2023-11-20 19:46,68,27509,506763487,9918904,8914569
2023-11-20 19:47,69,27825,512000322,10025285,9010167
2023-11-20 19:48,70,28162,520564975,10166877,9137441
2023-11-20 19:49,71,28499,527292586,10330230,9284305
2023-11-20 19:50,72,28833,539736719,10516825,9452087
2023-11-20 19:51,73,29154,548482400,10694227,9611610
2023-11-20 19:52,74,29450,558990495,10923783,9818077
2023-11-20 19:53,75,29754,564681893,11028348,9912045
2023-11-20 19:54,76,30044,570834404,11158655,10029194
2023-11-20 19:55,77,30358,585664260,11451368,10292492
2023-11-20 19:56,78,30680,593658996,11590339,10417418
2023-11-20 19:57,79,30959,600021985,11735991,10548379
2023-11-20 19:58,80,31244,605216063,11840055,10641905
2023-11-20 19:59,81,31525,609997600,11933479,10725856
2023-11-20 20:00,82,31803,614861620,12029756,10812378
2023-11-20 20:01,83,32099,621787520,12164963,10933926
2023-11-20 20:02,84,32383,627751654,12289187,11045597
2023-11-20 20:03,85,32688,633534895,12411108,11155184
2023-11-20 20:04,86,32979,638449089,12504845,11239415
2023-11-20 20:05,87,33289,648233765,12705083,11419486
2023-11-20 20:06,88,33568,653674267,12802555,11507081
2023-11-20 20:07,89,33868,658788486,12900510,11595106
2023-11-20 20:08,90,34162,668928579,13077364,11754149
2023-11-20 20:09,91,34453,675944405,13209709,11873126
