Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,2,0,0,0,19243,418,376,0,0
1,147,0,0,0,1909873,38015,34145,0,0
2,292,0,0,0,3861326,75953,68219,0,0
3,591,0,0,0,8405513,162926,146364,0,0
4,895,0,0,0,12957100,248043,222831,0,0
5,1188,0,0,0,17297183,329785,296273,0,0
6,1478,0,0,0,21504600,410435,368731,0,0
7,1761,0,0,0,26624955,500257,449440,0,0
8,2034,0,0,0,30841127,580494,521528,0,0
9,2326,0,0,0,35341101,666185,598516,0,0
10,2607,0,0,0,40089782,756379,679565,0,0
11,2885,0,0,0,45144064,847702,761633,0,0
12,3180,0,0,0,50741397,956027,858997,0,0
13,3446,0,0,0,56175856,1080447,970853,0,0
14,3740,0,0,0,61049137,1171567,1052728,0,0
15,4045,0,0,0,66554280,1281480,1151512,0,0
16,4298,0,0,0,71055141,1358605,1220816,0,0
17,4566,0,0,0,75162909,1439147,1293185,0,0
18,4861,0,0,0,80196864,1536457,1380637,0,0
19,5181,0,0,0,85065773,1630415,1465057,0,0
20,5446,0,0,0,90794902,1739495,1563115,0,0
21,5715,0,0,0,95989377,1845173,1658112,0,0
22,5972,0,0,0,100982550,1934563,1738453,0,0
23,6237,0,0,0,105807734,2032877,1826809,0,0
24,6525,0,0,0,111431589,2153206,1934971,0,0
25,6796,0,0,0,116000361,2243715,2016307,0,0
26,7036,0,0,0,122729994,2351658,2113341,0,0
27,7279,0,0,0,128029845,2464117,2214443,0,0
28,7528,0,0,0,132054978,2543694,2285948,0,0
29,7742,0,0,0,135657516,2614180,2349288,0,0
30,7986,0,0,0,140382374,2701242,2427537,0,0
31,8207,0,0,0,145575710,2813624,2528587,0,0
32,8445,0,0,0,149740750,2895203,2601901,0,0
33,8673,0,0,0,153140536,2962501,2662362,0,0
34,8882,0,0,0,156903045,3037340,2729622,0,0
35,9103,0,0,0,163051552,3177065,2855272,0,0
36,9346,0,0,0,167345376,3262536,2932085,0,0
37,9576,0,0,0,174225391,3425391,3078550,0,0
38,9814,0,0,0,178074276,3498553,3144284,0,0
39,10039,0,0,0,183494498,3618405,3252051,0,0
40,10276,0,0,0,187706537,3699381,3324823,0,0
41,10514,0,0,0,193059498,3815128,3428887,0,0
42,10725,0,0,0,196828243,3891479,3497510,0,0
43,10953,0,0,0,200467259,3964687,3563290,0,0
44,11175,0,0,0,204794267,4047569,3637785,0,0
45,11379,0,0,0,207811295,4105742,3690051,0,0
46,11594,0,0,0,213409924,4214327,3787681,0,0
47,11814,0,0,0,217652939,4300521,3865156,0,0
48,11998,0,0,0,220625784,4360303,3918877,0,0
49,12233,0,0,0,224413751,4438971,3989576,0,0
50,12466,0,0,0,229132049,4535325,4076188,0,0
51,12690,0,0,0,233815573,4622505,4154550,0,0
52,12900,0,0,0,238205849,4711606,4234641,0,0
53,13095,0,0,0,245747095,4843357,4353127,0,0
54,13293,0,0,0,248924903,4905391,4408869,0,0
55,13495,0,0,0,252496923,4970035,4466953,0,0
56,13680,0,0,0,256920502,5065228,4552542,0,0
57,13867,0,0,0,260929326,5151774,4630348,0,0
58,14056,0,0,0,263778249,5208610,4681418,0,0
59,14250,0,0,0,267000724,5278957,4744647,0,0
60,14444,0,0,0,269926175,5336870,4796676,0,0
61,14646,0,0,0,272674186,5391382,4845648,0,0
62,14830,0,0,0,276481020,5471364,4917543,0,0
63,15014,0,0,0,279315719,5527248,4967757,0,0
64,15245,0,0,0,285571388,5651355,5079353,0,0
65,15444,0,0,0,288682281,5713157,5134887,0,0
66,15633,0,0,0,292451589,5780988,5195850,0,0
67,15830,0,0,0,296282931,5859034,5266009,0,0
68,15995,0,0,0,299700724,5928547,5328496,0,0
69,16182,0,0,0,302994858,5993868,5387206,0,0
70,16367,0,0,0,306670096,6071156,5456678,0,0
71,16546,0,0,0,312403072,6187460,5561272,0,0
72,16724,0,0,0,316176654,6266444,5632274,0,0
73,16889,0,0,0,321627045,6383213,5737290,0,0
74,17071,0,0,0,325615866,6460883,5807112,0,0
75,17249,0,0,0,329626192,6533078,5872010,0,0
76,17412,0,0,0,332445133,6591516,5924535,0,0
77,17601,0,0,0,335912088,6659897,5985996,0,0
78,17770,0,0,0,338728803,6715262,6035748,0,0
79,17928,0,0,0,342084679,6790270,6103182,0,0
80,18076,0,0,0,345738121,6867324,6172461,0,0
81,18241,0,0,0,349090805,6937509,6235549,0,0
82,18386,0,0,0,352122408,6999222,6291025,0,0
83,18522,0,0,0,355045611,7060593,6346201,0,0
84,18676,0,0,0,357688552,7112455,6392802,0,0
85,18827,0,0,0,361769257,7213591,6483754,0,0
86,18998,0,0,0,366225240,7307994,6568645,0,0
87,19155,0,0,0,370737187,7393627,6645641,0,0
88,19310,0,0,0,373420542,7445707,6692447,0,0
89,19462,0,0,0,376788493,7507784,6748248,0,0
90,19629,0,0,0,380217090,7576749,6810235,0,0
91,19794,0,0,0,383804577,7647306,6873663,0,0
92,19922,0,0,0,385895593,7688852,6910995,0,0
93,19938,0,0,0,408641423,7979764,7172809,0,0
94,19940,0,0,0,408660034,7980232,7173230,0,0
95,20018,0,0,0,409661810,8000058,7191042,0,0
96,20127,0,0,0,411292241,8030577,7218460,0,0
97,20334,0,0,0,414774876,8098244,7279273,0,0
98,20513,0,0,0,417533476,8150582,7326295,0,0
99,20694,0,0,0,421362068,8227063,7395043,0,0
100,20859,0,0,0,425110349,8304591,7464745,0,0
101,21036,0,0,0,428409769,8371594,7524970,0,0
102,21219,0,0,0,432115372,8450047,7595502,0,0
103,21394,0,0,0,436187999,8523783,7661786,0,0
104,21565,0,0,0,439424895,8585820,7717547,0,0
105,21737,0,0,0,442365670,8645794,7771438,0,0
106,21934,0,0,0,448670247,8771786,7884736,0,0
107,22108,0,0,0,452688302,8849593,7954681,0,0
108,22275,0,0,0,455856535,8909682,8008684,0,0
109,22438,0,0,0,459345730,8974592,8067037,0,0
110,22608,0,0,0,462180050,9028188,8115191,0,0
111,22773,0,0,0,467297755,9122173,8199701,0,0
112,22949,0,0,0,471304089,9206480,8275502,0,0
113,23083,0,0,0,474353172,9272287,8334669,0,0
114,23234,0,0,0,477990963,9344366,8399473,0,0
115,23422,0,0,0,482636733,9434124,8480169,0,0
116,23579,0,0,0,486584557,9507727,8546338,0,0
117,23739,0,0,0,491392972,9591898,8622015,0,0
118,23900,0,0,0,499667415,9711226,8729343,0,0
119,24084,0,0,0,507142111,9824190,8830930,0,0
120,24254,0,0,0,510779756,9892654,8892464,0,0
121,24412,0,0,0,514324099,9953330,8947003,0,0
122,24568,0,0,0,519244953,10045645,9030013,0,0
123,24689,0,0,0,526374233,10237680,9202787,0,0
124,24866,0,0,0,530057489,10310506,9268255,0,0
125,24992,0,0,0,533976237,10386208,9336328,0,0
126,25132,0,0,0,538191216,10480866,9421457,0,0
127,25277,0,0,0,540784303,10532066,9467474,0,0
128,25431,0,0,0,545050517,10634363,9559475,0,0
129,25579,0,0,0,548742700,10717501,9634228,0,0
130,25735,0,0,0,552021871,10777836,9688460,0,0
131,25871,0,0,0,555022009,10839985,9744327,0,0
132,26010,0,0,0,559410917,10942955,9836941,0,0
133,26168,0,0,0,562886767,11012794,9899725,0,0
134,26292,0,0,0,566803203,11106374,9983890,0,0
135,26438,0,0,0,570096588,11165088,10036666,0,0
136,26570,0,0,0,574494124,11248571,10111742,0,0
137,26693,0,0,0,578011588,11308561,10165680,0,0
138,26821,0,0,0,580400828,11355724,10208076,0,0
139,26957,0,0,0,582689768,11401687,10249382,0,0
140,27097,0,0,0,586754910,11487957,10326963,0,0
141,27245,0,0,0,590150296,11551847,10384393,0,0
142,27369,0,0,0,592230178,11594256,10422506,0,0
143,27526,0,0,0,598086790,11697489,10515347,0,0
144,27651,0,0,0,602575653,11791004,10599448,0,0
145,27763,0,0,0,604833200,11832959,10637151,0,0
146,27884,0,0,0,607177609,11883570,10682645,0,0
147,28030,0,0,0,611065803,11961116,10752379,0,0
148,28158,0,0,0,614931067,12033014,10817034,0,0
149,28279,0,0,0,617982309,12086854,10865436,0,0
150,28400,0,0,0,621469879,12161609,10932659,0,0
151,28548,0,0,0,624023443,12211138,10977169,0,0
152,28670,0,0,0,626026357,12252301,11014163,0,0
153,28792,0,0,0,628985682,12301320,11058225,0,0
154,28918,0,0,0,632416873,12368709,11118818,0,0
