Channel State,Experiment Time (minutes),State Time (samples)
adapter,0,95085
adapter,1,1274035
adapter,2,1538242
adapter,3,2249626
adapter,4,2468554
adapter,5,2119206
adapter,6,2261204
adapter,7,2278821
adapter,8,2381104
adapter,9,2011271
adapter,10,2160606
adapter,11,2109282
adapter,12,2232227
adapter,13,1959018
adapter,14,2023743
adapter,15,2061605
adapter,16,2243827
adapter,17,2058142
adapter,18,2028462
adapter,19,1976041
adapter,20,1870848
adapter,21,1966417
adapter,22,1886870
adapter,23,2107014
adapter,24,2245617
adapter,25,2025610
adapter,26,2400629
adapter,27,2242272
adapter,28,2035171
adapter,29,2351682
adapter,30,1982711
adapter,31,2447361
adapter,32,2248146
adapter,33,2185636
adapter,34,2302147
adapter,35,2523136
adapter,36,2120717
adapter,37,2426156
adapter,38,2378702
adapter,39,2616753
adapter,40,2166980
adapter,41,2034432
adapter,42,2335920
adapter,43,2273813
adapter,44,2473298
adapter,45,2084220
adapter,46,2169870
adapter,47,2236126
adapter,48,2009503
adapter,49,2129492
adapter,50,2226957
adapter,51,2179558
adapter,52,2386355
adapter,53,1999617
adapter,54,1918181
adapter,55,2332961
adapter,56,2161792
adapter,57,2196535
adapter,58,2131133
adapter,59,2127708
adapter,60,2106005
adapter,61,2149057
adapter,62,2258706
adapter,63,2148838
adapter,64,1962344
adapter,65,2315535
adapter,66,2082113
adapter,67,2150947
adapter,68,1871912
adapter,69,1955423
adapter,70,1910566
adapter,71,2128100
adapter,72,2102311
adapter,73,2133113
adapter,74,2211679
adapter,75,2268126
adapter,76,1891938
adapter,77,2314956
adapter,78,2550010
adapter,79,1973711
adapter,80,2088245
adapter,81,2152006
adapter,82,2090169
adapter,83,2032907
adapter,84,2299006
adapter,85,2265150
adapter,86,2006712
adapter,87,2192896
adapter,88,2083777
adapter,89,2561272
adapter,90,2234594
adapter,91,1927447
adapter,92,1140687
adapter,93,281
adapter,94,858647
adapter,95,1017492
adapter,96,1793576
adapter,97,1908170
adapter,98,1959808
adapter,99,1719178
adapter,100,1921594
adapter,101,1788527
adapter,102,1961041
adapter,103,2088615
adapter,104,2014676
adapter,105,1927812
adapter,106,2061414
adapter,107,1831340
adapter,108,2014310
adapter,109,2012096
adapter,110,1909044
adapter,111,1881226
adapter,112,1920593
adapter,113,1931910
adapter,114,1956617
adapter,115,1996670
adapter,116,1847824
adapter,117,1889110
adapter,118,1916783
adapter,119,1827667
adapter,120,2014787
adapter,121,2171994
adapter,122,1943956
adapter,123,2159936
adapter,124,1835151
adapter,125,1886084
adapter,126,1978997
adapter,127,1739306
adapter,128,2145714
adapter,129,2040511
adapter,130,2047743
adapter,131,1923341
adapter,132,1882618
adapter,133,1974066
adapter,134,1778007
adapter,135,2079815
adapter,136,1823598
adapter,137,1920581
adapter,138,1713118
adapter,139,1865995
adapter,140,1756313
adapter,141,1796769
adapter,142,1634113
adapter,143,2111258
adapter,144,1842002
adapter,145,1928573
adapter,146,1709101
adapter,147,1863483
adapter,148,2156271
adapter,149,2045333
adapter,150,1696905
adapter,151,1883456
adapter,152,1901325
adapter,153,1788120
adapter,154,1823685
adapter,155,2045093
adapter,156,1833693
adapter,157,1909362
adapter,158,1844588
adapter,159,1835787
adapter,160,1606149
adapter,161,1714858
adapter,162,1687667
adapter,163,1692076
adapter,164,1621461
adapter,165,1746591
adapter,166,1636411
adapter,167,1771155
adapter,168,1742955
adapter,169,1637335
adapter,170,1624404
adapter,171,1651919
adapter,172,1567974
adapter,173,1536005
adapter,174,1758912
adapter,175,1528539
adapter,176,1749138
adapter,177,1587014
adapter,178,1585755
adapter,179,1525395
adapter,180,1671635
adapter,181,1686349
adapter,182,1632742
adapter,183,1772869
adapter,184,1679749
adapter,185,1485824
adapter,186,0
adapter,187,2791
adapter,188,1036390
adapter,189,1130107
adapter,190,2005628
adapter,191,1875734
adapter,192,1964273
adapter,193,1959684
adapter,194,1940061
adapter,195,1967976
adapter,196,1932689
adapter,197,2014523
adapter,198,1977150
adapter,199,1891070
adapter,200,2027073
adapter,201,1893199
adapter,202,1841244
adapter,203,1897610
adapter,204,1864857
adapter,205,1820658
adapter,206,1922394
adapter,207,1683319
adapter,208,1864249
adapter,209,1889821
adapter,210,1855038
adapter,211,1817791
adapter,212,1684661
adapter,213,1998447
adapter,214,1807987
adapter,215,1961195
adapter,216,1791383
adapter,217,1860724
adapter,218,2401270
adapter,219,1622350
adapter,220,1781613
adapter,221,1630432
adapter,222,1779297
adapter,223,1841191
adapter,224,1740897
adapter,225,2195870
adapter,226,1809583
adapter,227,1818183
adapter,228,1721868
adapter,229,1929896
adapter,230,1666347
adapter,231,1650374
adapter,232,1949179
adapter,233,1619651
adapter,234,1725224
adapter,235,1654153
adapter,236,1690072
adapter,237,1822160
adapter,238,1752754
adapter,239,1959114
adapter,240,1842450
adapter,241,1672220
adapter,242,1861456
adapter,243,1845859
adapter,244,1779504
adapter,245,1786531
adapter,246,1990449
adapter,247,1859979
adapter,248,1631992
adapter,249,1770720
adapter,250,1681729
adapter,251,1779060
adapter,252,1793233
adapter,253,1654620
adapter,254,1684247
adapter,255,1724293
adapter,256,1689143
adapter,257,1684181
adapter,258,1583669
adapter,259,1644173
adapter,260,1590512
adapter,261,1703961
adapter,262,1656460
adapter,263,1735850
adapter,264,1456920
adapter,265,1598330
adapter,266,1607141
adapter,267,1697426
adapter,268,1608441
adapter,269,1428408
adapter,270,1632447
adapter,271,1696983
adapter,272,1496654
adapter,273,1374413
adapter,274,1525356
adapter,275,1440227
adapter,276,1601601
adapter,277,1691164
adapter,278,1712172
adapter,279,1334683
adapter,280,1610
adapter,281,1414
adapter,282,1045143
adapter,283,1043157
adapter,284,2029655
adapter,285,1766483
adapter,286,1753825
adapter,287,2248351
adapter,288,1944765
adapter,289,1965256
adapter,290,1902041
adapter,291,1840208
adapter,292,1950525
adapter,293,2056738
adapter,294,1977386
adapter,295,2140200
adapter,296,1905758
adapter,297,1942218
adapter,298,2022376
adapter,299,1882883
adapter,300,1931770
adapter,301,2007409
adapter,302,2164683
adapter,303,1771496
adapter,304,1939265
adapter,305,1922338
adapter,306,1998907
adapter,307,1890740
adapter,308,1909736
adapter,309,2017652
adapter,310,1814317
adapter,311,2030291
adapter,312,2003245
adapter,313,2072695
adapter,314,1833849
adapter,315,1937012
adapter,316,1933744
adapter,317,1846314
adapter,318,1927282
adapter,319,1838170
adapter,320,2090592
adapter,321,1976904
adapter,322,1991193
adapter,323,2083044
adapter,324,1898593
adapter,325,2000524
adapter,326,1892994
adapter,327,1888867
adapter,328,1927172
adapter,329,1990719
adapter,330,1858240
adapter,331,1950632
adapter,332,2065967
adapter,333,1887053
adapter,334,2164633
adapter,335,1965641
adapter,336,1938993
adapter,337,1867321
adapter,338,1904171
adapter,339,1766276
adapter,340,1728109
adapter,341,2264216
adapter,342,1948919
adapter,343,1878755
adapter,344,1808299
adapter,345,1751697
adapter,346,1898909
adapter,347,1872706
adapter,348,1798031
adapter,349,1915936
adapter,350,1947090
adapter,351,1974747
adapter,352,2009917
adapter,353,1869847
adapter,354,1775266
adapter,355,1652328
adapter,356,1781417
adapter,357,2120686
adapter,358,1861492
adapter,359,1998997
adapter,360,1851697
adapter,361,1977802
adapter,362,1764367
adapter,363,1787045
adapter,364,1700318
adapter,365,1759230
adapter,366,1828723
adapter,367,1944895
adapter,368,1750998
adapter,369,1707811
adapter,370,1705654
adapter,371,1769022
adapter,372,1979976
adapter,373,1462633
adapter,374,0
adapter,375,1462
adapter,376,1059920
adapter,377,1268285
adapter,378,1903202
adapter,379,1907920
adapter,380,2044740
adapter,381,2006462
adapter,382,2054511
adapter,383,2000042
adapter,384,1927624
adapter,385,1744989
adapter,386,1912597
adapter,387,1878323
adapter,388,1817187
adapter,389,1942621
adapter,390,1958778
adapter,391,1855430
adapter,392,1994117
adapter,393,1804989
adapter,394,1823866
adapter,395,1854734
adapter,396,1774506
adapter,397,2034759
adapter,398,1974545
adapter,399,1833489
adapter,400,1843773
adapter,401,1951430
adapter,402,1782881
adapter,403,1753928
adapter,404,1856159
adapter,405,2051416
adapter,406,1807635
adapter,407,2098898
adapter,408,1773950
adapter,409,1953557
adapter,410,1635979
adapter,411,1987047
adapter,412,1830606
adapter,413,1969977
adapter,414,2000643
adapter,415,1974772
adapter,416,2056700
adapter,417,2015129
adapter,418,1872535
adapter,419,1923190
adapter,420,2067870
adapter,421,2097434
adapter,422,2006877
adapter,423,2076352
adapter,424,1982704
adapter,425,1910929
adapter,426,1944879
adapter,427,2090940
adapter,428,1893961
adapter,429,1885501
adapter,430,1946999
adapter,431,1752190
adapter,432,1781439
adapter,433,1840573
adapter,434,2000689
adapter,435,1883380
adapter,436,2119028
adapter,437,2088672
adapter,438,2047134
adapter,439,1948919
adapter,440,1975123
adapter,441,2065926
adapter,442,1788829
adapter,443,2283101
adapter,444,1936754
adapter,445,2132623
adapter,446,2067614
adapter,447,1982544
adapter,448,2021814
adapter,449,1864187
adapter,450,1931186
adapter,451,1753812
adapter,452,1809024
adapter,453,1827073
adapter,454,1787482
adapter,455,1993079
adapter,456,2101362
adapter,457,1844175
