Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,97,0,0,0,354803,33124,10220,0,0
2,4719,0,0,0,38139565,3387768,1047906,0,0
3,14825,0,0,0,122835506,10897025,3370751,0,0
4,24779,0,0,0,206066291,18283815,5655711,0,0
5,34806,0,0,0,290335957,25775479,7973154,0,0
6,44594,0,0,0,373468535,33154510,10255839,0,0
7,54453,0,0,0,458448186,40717255,12595411,0,0
8,64227,0,0,0,540968929,48038890,14860299,0,0
9,74091,0,0,0,624595677,55461146,17156278,0,0
10,83649,0,0,0,706235505,62707652,19397942,0,0
11,93306,0,0,0,789071369,70062191,21673081,0,0
12,103012,0,0,0,872867684,77501231,23974364,0,0
13,112413,0,0,0,954634910,84759104,26219663,0,0
14,121935,0,0,0,1036500582,92043138,28472963,0,0
15,131412,0,0,0,1118369256,99320460,30724296,0,0
16,141073,0,0,0,1204535737,107038302,33112056,0,0
17,150647,0,0,0,1288459925,114509649,35423415,0,0
18,160447,0,0,0,1372833041,122007866,37743036,0,0
19,170062,0,0,0,1455833623,129370936,40020833,0,0
20,179545,0,0,0,1537696248,136656567,42274668,0,0
21,189184,0,0,0,1622974455,144275382,44631698,0,0
22,198862,0,0,0,1708140721,151871115,46981629,0,0
23,208499,0,0,0,1793449962,159466485,49331415,0,0
24,218222,0,0,0,1875712438,166777136,51592935,0,0
25,228084,0,0,0,1958990054,174246483,53903563,0,0
26,238006,0,0,0,2052871899,182669745,56509891,0,0
27,247812,0,0,0,2134652177,189966374,58767025,0,0
28,257619,0,0,0,2217174708,197312206,61039367,0,0
29,267366,0,0,0,2302259206,205014494,63422269,0,0
30,277251,0,0,0,2382594177,212163275,65633506,0,0
31,287024,0,0,0,2465824625,219663773,67953811,0,0
32,296999,0,0,0,2547284651,226913677,70196345,0,0
33,307034,0,0,0,2628710667,234198732,72449717,0,0
34,317094,0,0,0,2709337687,241412790,74681158,0,0
35,327114,0,0,0,2791323694,248722579,76942222,0,0
36,337127,0,0,0,2872650764,256035774,79204370,0,0
37,346977,0,0,0,2952568981,263158179,81407418,0,0
38,356722,0,0,0,3031797189,270226200,83593726,0,0
39,366711,0,0,0,3121856720,278364887,86111776,0,0
40,376615,0,0,0,3201205161,285472289,88310149,0,0
41,386563,0,0,0,3280442953,292570910,90505822,0,0
42,396421,0,0,0,3358986238,299583484,92674854,0,0
43,406275,0,0,0,3446972219,307509676,95127068,0,0
44,415963,0,0,0,3529860840,314969983,97434963,0,0
45,425889,0,0,0,3608582202,321991275,99606685,0,0
46,435801,0,0,0,3687217453,329018664,101780334,0,0
47,445906,0,0,0,3766597563,336129901,103979820,0,0
48,455734,0,0,0,3847164822,343416884,106233911,0,0
49,465499,0,0,0,3926823007,350530946,108434385,0,0
50,475397,0,0,0,4006939480,357672339,110643356,0,0
51,485148,0,0,0,4087401125,364906821,112881223,0,0
52,494950,0,0,0,4169652322,372311335,115171791,0,0
53,504611,0,0,0,4249780621,379485342,117390970,0,0
54,514079,0,0,0,4326651475,386362431,119518179,0,0
55,523564,0,0,0,4402808529,393172099,121624512,0,0
56,533249,0,0,0,4487052337,400712879,123957406,0,0
57,542689,0,0,0,4562649572,407467987,126046779,0,0
58,552201,0,0,0,4640792530,414446602,128205489,0,0
59,561734,0,0,0,4720144859,421523873,130394721,0,0
60,571468,0,0,0,4797389620,428418573,132527263,0,0
61,580974,0,0,0,4875823010,435433793,134697268,0,0
62,590423,0,0,0,4951223171,442172658,136781655,0,0
63,600077,0,0,0,5031201313,449352047,139002474,0,0
64,609567,0,0,0,5109432285,456378069,141175787,0,0
65,619005,0,0,0,5185547647,463170966,143276916,0,0
66,628606,0,0,0,5262350052,470015412,145393963,0,0
67,637849,0,0,0,5336998172,476673808,147453506,0,0
68,647242,0,0,0,5413550792,483495274,149563507,0,0
69,656505,0,0,0,5490324723,490345168,151682361,0,0
70,665986,0,0,0,5570993334,497535267,153906617,0,0
71,675389,0,0,0,5647089624,504324645,156006714,0,0
72,684726,0,0,0,5722900956,511093337,158100399,0,0
73,694266,0,0,0,5799159933,517922204,160212610,0,0
74,703745,0,0,0,5874628001,524661192,162297011,0,0
75,713251,0,0,0,5950862265,531468833,164402683,0,0
76,722771,0,0,0,6028935247,538442678,166559864,0,0
77,732163,0,0,0,6105815329,545343814,168694590,0,0
78,741579,0,0,0,6198636586,554014526,171377835,0,0
79,750989,0,0,0,6273440355,560719034,173451579,0,0
80,760129,0,0,0,6347598844,567376203,175510793,0,0
81,769532,0,0,0,6424629746,574256925,177639200,0,0
82,778772,0,0,0,6499529588,580937927,179705766,0,0
83,787968,0,0,0,6574175579,587597880,181765740,0,0
84,797224,0,0,0,6650042195,594368540,183860066,0,0
85,806334,0,0,0,6725558085,601099468,185942111,0,0
86,815394,0,0,0,6801733373,607894792,188044133,0,0
87,824511,0,0,0,6877022379,614606106,190120116,0,0
88,833421,0,0,0,6952089804,621305303,192192466,0,0
89,842440,0,0,0,7045196461,629992866,194881143,0,0
90,851397,0,0,0,7118783622,636549858,196909424,0,0
91,860299,0,0,0,7193395383,643212379,198970439,0,0
92,865509,0,0,0,7241315378,647593950,200326118,0,0
93,865509,0,0,0,7241315378,647593950,200326118,0,0
94,865567,0,0,0,7241523618,647613991,200332302,0,0
95,866378,0,0,0,7247650595,648157644,200500441,0,0
96,875218,0,0,0,7322348208,654798956,202554867,0,0
97,884171,0,0,0,7397299041,661454810,204613737,0,0
98,892924,0,0,0,7471534152,668058059,206656402,0,0
99,901847,0,0,0,7545228892,674614714,208684501,0,0
100,910426,0,0,0,7618947697,681174577,210713820,0,0
101,919246,0,0,0,7696724254,688167853,212877363,0,0
102,928361,0,0,0,7774714531,695115854,215026751,0,0
103,937449,0,0,0,7850609351,701946288,217139664,0,0
104,946409,0,0,0,7924175437,708490261,219163839,0,0
105,955432,0,0,0,7998766622,715155103,221225408,0,0
